,1000,2000,3000,4000,5000
0,3700,15340,12000,2740,2260
1,3080,6760,4560,5040,4360
2,4300,10300,5040,4520,8680
3,3380,7920,14300,6520,2860
4,5140,3000,2740,4400,12740
5,8460,3020,15700,11340,9240
6,8400,2260,3220,8420,9400
7,5080,1800,4700,8920,9500
8,4940,5760,4580,4920,13200
9,16340,6460,4860,3000,5380
10,7920,11000,4000,3520,7820
11,4480,2040,3320,11920,9060
12,15440,9460,3600,11000,5480
13,4260,2520,1800,7880,10740
14,13560,5140,5660,6380,8060
15,3080,4100,4220,6720,2420
16,10400,8500,2240,6960,8160
17,7880,7780,1800,5840,12760
18,8960,6580,2160,9380,3240
19,3760,3200,5220,2280,11220
20,3580,2900,11540,2520,4920
21,12520,4000,8820,9740,8160
22,9580,4300,10160,3940,10080
23,10920,2400,7860,2300,3760
24,8540,2000,7560,2520,18100
25,2980,3240,9240,5000,2740
26,10420,7000,3800,5960,6260
27,11460,2680,6240,15640,14300
28,9620,4500,10060,10580,13120
29,3280,2400,9380,3600,9640
30,11220,3600,13960,4320,7980
31,7300,4180,2540,5680,12320
32,5760,21260,20120,16580,2400
33,10540,8360,8420,8360,11380
34,8700,6720,2500,24520,3400
35,3120,4920,3020,5900,9960
36,7140,3560,3480,3380,2840
37,12580,4800,14600,3140,3640
38,6040,16480,3020,1800,2280
39,6420,12460,2620,5100,4640
40,13380,2860,1800,3780,3540
41,7120,9320,12600,9020,2280
42,4280,17180,7720,9340,8980
43,4520,5100,13040,5080,4620
44,3120,5080,3680,2780,8900
45,7820,13500,4620,7020,10840
46,14500,3520,4600,10100,4220
47,7780,4480,3200,4640,13120
48,7220,5520,9560,3000,4060
49,4180,5200,4540,4900,2420
50,4380,4500,4260,3280,6780
51,3780,4500,7180,10620,7980
52,3800,3560,5920,14140,2980
53,7500,14740,1920,16200,17820
54,12460,5120,2560,2160,6440
55,3600,3000,1920,2400,9040
56,3480,8220,16900,8940,8580
57,5600,4100,19580,13120,17980
58,3380,3720,2660,2400,3340
59,1840,3040,9600,5820,3600
60,15400,10020,10120,8160,10620
61,2200,4700,5440,2520,2200
62,5980,24780,4400,9280,9360
63,2160,2400,5400,8600,3340
64,10300,4540,4540,3980,11700
65,7400,7400,3000,8940,12920
66,14540,7360,7840,8420,14040
67,9440,5960,4520,13080,4000
68,2080,4980,2760,2860,5360
69,3100,3680,3740,2900,15660
70,11240,3640,3200,4960,4020
71,5500,3280,5420,4700,12200
72,1920,3120,9580,4120,5360
73,1440,4020,5160,3180,3920
74,4860,3820,3780,3560,9200
75,12060,1800,20940,3900,8940
76,2560,4660,5460,3340,3260
77,4320,5360,9860,1680,8760
78,18220,9920,15180,7480,14060
79,5280,3760,11200,4760,11920
80,8860,9300,14360,18240,10100
81,9980,5060,9000,13520,8720
82,7000,7960,7080,8880,19180
83,3840,2280,1920,3980,2020
84,4120,2720,3020,2900,9100
85,7760,5740,6100,11360,3940
86,8480,11060,11180,8580,2500
87,1920,4880,3000,4040,16180
88,3020,4400,8560,17780,2640
89,3040,2640,4480,3360,13100
90,2160,9380,5180,2640,4660
91,7640,11080,3400,5980,3460
92,3220,4100,14300,2880,4980
93,4220,19580,8440,2260,7960
94,4540,25500,9560,4860,4100
95,17020,3040,3580,6960,3260
96,3340,3940,2900,10180,8380
97,3200,2640,5080,9340,12940
98,2760,13080,4160,2400,1440
99,4600,1440,2420,4140,2500
